Index	JobID	Memory MB
8	58907137	165.33
7	58907130	185.39
5	58907125	136.42
2	58907122	151.43
6	58907126	156.99
3	58907123	154.20
1	58907121	146.33
9	58907140	163.27
4	58907124	152.70
0	58907120	156.60
50	58907372	144.82
59	58907405	146.35
55	58907382	144.42
51	58907373	172.15
47	58907369	143.15
57	58907393	151.32
45	58907367	159.11
36	58907313	152.23
46	58907368	169.32
54	58907376	152.80
56	58907389	168.90
28	58907263	140.50
53	58907375	434.70
24	58907240	146.21
23	58907234	149.11
32	58907289	138.34
60	58907414	141.62
29	58907271	147.59
31	58907284	135.80
30	58907278	140.32
43	58907359	148.32
39	58907334	154.39
48	58907370	137.31
34	58907301	135.95
33	58907294	152.06
52	58907374	148.52
22	58907227	141.34
37	58907321	156.42
21	58907220	136.80
19	58907206	143.36
42	58907352	138.90
40	58907340	140.50
41	58907347	176.25
44	58907366	141.98
38	58907327	162.58
35	58907307	141.97
11	58907151	146.14
27	58907258	166.02
12	58907158	137.32
18	58907199	148.92
13	58907164	145.03
25	58907245	144.72
20	58907213	143.20
58	58907399	138.59
16	58907185	156.27
49	58907371	143.73
73	58907493	140.16
62	58907427	369.65
10	58907145	138.11
69	58907473	139.82
72	58907488	142.11
15	58907178	141.52
63	58907432	156.79
65	58907446	155.13
14	58907170	155.81
17	58907193	140.14
68	58907467	140.29
66	58907452	146.68
64	58907439	161.20
61	58907420	154.97
70	58907478	157.46
67	58907460	169.21
26	58907252	446.51
71	58907480	164.99
93	58907607	146.36
99	58907626	146.58
87	58907577	162.85
92	58907602	141.04
89	58907589	153.78
74	58907501	267.25
97	58907624	154.47
88	58907583	145.84
91	58907597	143.29
86	58907570	146.08
90	58907592	149.30
98	58907625	143.58
96	58907623	149.21
95	58907617	148.53
94	58907612	179.30
85	58907565	138.75
78	58907528	146.45
84	58907557	139.79
83	58907553	135.42
79	58907530	418.14
77	58907522	147.91
75	58907507	182.25
76	58907515	197.01
80	58907536	153.39
82	58907548	152.77
81	58907541	454.33
