Index	JobID	Runtime sec
8	58907137	11
7	58907130	12
5	58907125	15
2	58907122	16
6	58907126	16
3	58907123	16
1	58907121	16
9	58907140	19
4	58907124	19
0	58907120	21
50	58907372	9
59	58907405	10
55	58907382	10
51	58907373	10
47	58907369	11
57	58907393	12
45	58907367	10
36	58907313	11
46	58907368	12
54	58907376	12
56	58907389	13
28	58907263	11
53	58907375	13
24	58907240	12
23	58907234	12
32	58907289	12
60	58907414	14
29	58907271	13
31	58907284	13
30	58907278	14
43	58907359	13
39	58907334	13
48	58907370	15
34	58907301	14
33	58907294	13
52	58907374	14
22	58907227	14
37	58907321	14
21	58907220	15
19	58907206	15
42	58907352	17
40	58907340	17
41	58907347	15
44	58907366	18
38	58907327	17
35	58907307	16
11	58907151	16
27	58907258	16
12	58907158	15
18	58907199	16
13	58907164	17
25	58907245	17
20	58907213	18
58	58907399	19
16	58907185	18
49	58907371	19
73	58907493	15
62	58907427	15
10	58907145	19
69	58907473	14
72	58907488	15
15	58907178	20
63	58907432	16
65	58907446	16
14	58907170	22
17	58907193	22
68	58907467	18
66	58907452	17
64	58907439	18
61	58907420	18
70	58907478	19
67	58907460	19
26	58907252	27
71	58907480	26
93	58907607	11
99	58907626	11
87	58907577	13
92	58907602	14
89	58907589	15
74	58907501	15
97	58907624	16
88	58907583	15
91	58907597	16
86	58907570	17
90	58907592	16
98	58907625	16
96	58907623	17
95	58907617	18
94	58907612	19
85	58907565	20
78	58907528	20
84	58907557	21
83	58907553	22
79	58907530	23
77	58907522	23
75	58907507	24
76	58907515	23
80	58907536	23
82	58907548	24
81	58907541	26
