#OM_number;a;b;chi2_A;chi2_B;loss
14;191.332;-20.5122;0.684297;0.682502;0.510553
15;171.619;11.9111;0.493149;1.36926;0.849401
16;166.378;0.135824;0.842664;0.898751;0.191239
17;185.967;-14.4577;0.580215;1.01388;0.0131575
18;177.564;21.6726;1.025;1.46552;0.598697
19;190.012;-5.71866;0.367167;1.00201;0.430042
20;204.449;1.32439;1.44277;0.728886;0.505346
21;168.023;-17.017;0.87979;0.886283;1.61437
22;179.76;-0.36757;0.853213;1.85153;0.0196165
23;190.546;-4.92414;0.862254;1.21375;0.965182
24;184.214;-28.3845;1.30183;1.22383;42.9123
27;189.247;14.1523;1.15847;0.709626;8.8365
28;202.659;4.08744;1.54075;1.58494;1.66953
29;193.651;11.9942;0.638621;2.38837;0.774925
30;195.459;2.13209;0.941893;0.857614;0.294531
31;179.62;1.9133;1.02624;0.636074;0.830588
32;209.547;0.0834465;1.39811;1.0812;0.399131
33;197.248;6.89456;1.13982;1.23908;0.0189903
34;182.856;6.1339;1.14283;1.47578;0.406631
35;181.416;2.742;0.592767;0.802322;0.614222
36;175.186;5.97351;0.401652;1.49849;0.694417
37;170.498;-8.66429;1.66806;0.945216;0.828333
41;197.501;-12.4573;1.09654;1.03996;8.06213
42;185.427;-10.6636;1.15853;0.867875;0.515418
43;189.712;-12.1539;1.36191;0.970614;0.44876
44;163.192;7.15389;0.896705;2.00113;0.880741
45;206.883;4.17275;2.37405;1.22846;0.550017
46;161.326;42.8645;1.98245;0.548303;0.367622
47;166.44;-4.63257;0.937806;1.41409;3.45447
48;173.422;-7.36614;1.57797;0.807015;6.08814
49;168.726;22.92;0.902723;1.09771;0.196103
53;166.851;2.39687;1.13503;0.784805;1.03072
54;184.479;21.1315;1.56119;0.865518;0.36321
55;181.914;-8.52417;0.969994;1.51127;0.588131
56;164.427;-4.54163;0.969567;0.835565;0.00762549
57;157.313;-4.69374;2.30084;0.538539;0.554387
58;191.607;-9.08279;1.02431;1.46421;0.839021
59;196.635;11.3744;0.970731;0.725961;0.124777
60;176;22.333;0.940855;1.10547;0.696991
61;196.05;1.85183;1.14465;0.970139;0.581413
62;197.821;-9.89003;0.82006;1.2159;0.32235
63;186.008;-6.47125;1.10041;0.820004;0.475402
66;169.87;-9.25173;0.445546;1.11555;0.00615982
67;180.297;-6.92115;0.531981;0.882132;0.325486
68;187.491;-8.4241;1.48211;1.01887;0.946934
69;160.743;-2.14986;0.99053;0.957075;0.888649
70;152.996;-9.48495;0.55611;0.434127;0.054335
71;163.806;-33.5693;1.5904;0.934734;6.3302
72;166.522;3.21179;0.889062;0.729399;0.952738
73;181.165;-12.8174;1.69975;0.789548;6.81033
75;177.81;-0.670128;2.09534;1.16103;0.906017
76;192.938;-14.5553;1.13848;0.967227;0.534209
79;162.556;-3.39013;1.11117;1.57094;3.54805
81;199.384;4.98953;0.729632;1.6115;2.69623
82;181.96;-13.8693;0.86862;0.571888;43.2337
83;148.256;17.9738;0.370093;1.09188;0.332977
84;215.143;-1.51093;0.893838;1.19588;0.569618
